1|AW00000001|245-555-0173|Value Added Reseller|A Bike Store|2|S|Road|2251 Elliot Avenue|International Bank|1974
2|AW00000002|170-555-0127|Specialty Bike Shop|Progressive Sports|10|A|Mountain|3207 S Grady Way|International Security|1976
3|AW00000003|279-555-0130|Warehouse|Advanced Bike Components|40|Q|Road|12345 Sterling Avenue|Primary International|1978
4|AW00000004|710-555-0173|Value Added Reseller|Modular Cycle Systems|5|S|Road|800 Interchange Blvd.|United Security|1980
5|AW00000005|828-555-0186|Specialty Bike Shop|Metropolitan Sports Supply|13|A|Road|482505 Warm Springs Blvd.|Primary Bank & Reserve|1982
6|AW00000006|244-555-0112|Warehouse|Aerobic Exercise Company|43|Q|Road|39933 Mission Oaks Blvd|Guardian Bank|1984
7|AW00000007|192-555-0173|Value Added Reseller|Associated Bikes|8|S|Mountain|5420 West 22500 South|Reserve Security|1986
8|AW00000008|872-555-0171|Specialty Bike Shop|Exemplary Cycles|16|A|Touring|79945 Corporate Center Drive|International Bank|1988
9|AW00000009|488-555-0130|Warehouse|Tandem Bicycle Store|46|Q|Mountain|3333 Micro Drive|International Security|1990
10|AW00000010|150-555-0127|Value Added Reseller|Rural Cycle Emporium|11|S|Mountain|6388 Lake City Way|Primary International|1992
11|AW00000011|926-555-0159|Specialty Bike Shop|Sharp Bikes|19|A|Mountain|52560 Free Street|United Security|1994
12|AW00000012|112-555-0191|Warehouse|Bikes and Motorbikes|49|Q|Road|22580 Free Street|Primary Bank & Reserve|1996
13|AW00000013|1 (11) 500 555-0127|Value Added Reseller|Country Parts Shop|14|S|Road|7033, rue de Longchamp|Guardian Bank|1998
14|AW00000014|1 (11) 500 555-0167|Specialty Bike Shop|Bicycle Warehouse Inc.|22|A|Mountain|Karl Liebknecht str 299|Reserve Security|2000
15|AW00000015|1 (11) 500 555-0140|Warehouse|Budget Toy Store|52|Q|Mountain|25 Epping Road|International Bank|2002
16|AW00000016|1 (11) 500 555-0132|Value Added Reseller|Bulk Discount Store|17|S|Road|93-2501, Blackfriars Road,|International Security|2004
17|AW00000017|497-555-0147|Specialty Bike Shop|Trusted Catalog Store|25|A|Mountain|9920 Picketts Line Road|Primary International|2005
18|AW00000018|440-555-0132|Warehouse|Catalog Store|55|Q|Mountain|855 East Main Avenue|United Security|2003
19|AW00000019|521-555-0195|Value Added Reseller|Center Cycle Shop|20|S|Road|99300 223rd Southeast|Primary Bank & Reserve|2004
20|AW00000020|582-555-0113|Specialty Bike Shop|Central Discount Store|28|A|Mountain|259826 Russell Rd. South|Guardian Bank|1975
21|AW00000021|928-555-0116|Warehouse|Chic Department Stores|58|Q|Mountain|90025 Sterling St|Reserve Security|2003
